,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP
0,1,Manchester City,38,33,3,2,101.0,15.0,86.0,102,2.68
1,2,Liverpool,38,31,6,1,92.0,16.0,76.0,99,2.61
2,3,Chelsea,38,26,10,2,83.0,29.0,54.0,88,2.32
3,4,Tottenham,38,23,11,4,76.0,37.0,39.0,80,2.11
4,5,Arsenal,38,21,9,8,66.0,44.0,22.0,72,1.89
5,6,Leicester City,38,20,7,11,60.0,48.0,12.0,67,1.76
6,7,Manchester Utd,38,19,10,9,62.0,52.0,10.0,67,1.76
7,8,West Ham,38,17,13,8,60.0,46.0,14.0,64,1.68
8,9,Brighton,38,11,21,6,50.0,46.0,4.0,54,1.42
9,10,Wolves,38,10,20,8,47.0,46.0,1.0,50,1.32
10,11,Crystal Palace,38,11,14,13,49.0,49.0,0.0,47,1.24
11,12,Aston Villa,38,12,8,18,48.0,60.0,-12.0,44,1.16
12,13,Newcastle Utd,38,10,14,14,43.0,56.0,-13.0,44,1.16
13,14,Brentford,38,9,11,18,46.0,61.0,-15.0,38,1.0
14,15,Leeds United,38,7,11,20,45.0,81.0,-36.0,32,0.84
15,16,Everton,38,4,10,24,37.0,72.0,-35.0,22,0.58
16,17,Fulham,38,4,8,26,37.0,85.0,-48.0,20,0.53
17,18,Nott'ham Forest,38,4,7,27,32.0,74.0,-42.0,19,0.5
18,19,Southampton,38,1,12,25,36.0,75.0,-39.0,15,0.39
19,20,Bournemouth,38,0,9,29,13.0,91.0,-78.0,9,0.24
